Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Solid
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color.  This is a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt
1637.683   13.7146
1639.612   13.7287
1641.541   13.7451
1643.470   13.7551
1645.399   13.7424
1647.328   13.7451
1649.257   13.7790
1651.186   13.7583
1653.115   13.7141
1655.044   13.7683
1656.973   13.8195
1658.901   13.8191
1660.830   13.8178
1662.759   13.8271
1664.688   13.8369
1666.617   13.8425
1668.546   13.8354
1670.475   13.8335
1672.404   13.8393
1674.333   13.8401
1676.262   13.8471
1678.191   13.8632
1680.120   13.8752
1682.049   13.8679
1683.978   13.8225
1685.907   13.8369
1687.836   13.8901
1689.765   13.8974
1691.694   13.8911
1693.623   13.8825
1695.552   13.8496
1697.481   13.8562
1699.410   13.8501
1701.339   13.8515
1703.268   13.8767
1705.196   13.8654
1707.125   13.8720
1709.054   13.8737
1710.983   13.8667
1712.912   13.8593
1714.841   13.8493
1716.770   13.8237
1718.699   13.8230
1720.628   13.8684
1722.557   13.8991
1724.486   13.9148
1726.415   13.9460
1728.344   13.9756
1730.273   14.0036
1732.202   14.0278
1734.131   14.0449
1736.060   14.0905
1737.989   14.1374
1739.918   14.1679
1741.847   14.1928
1743.776   14.2050
1745.705   14.2348
1747.634   14.2531
1749.563   14.2370
1751.491   14.2141
1753.420   14.2273
1755.349   14.2309
1757.278   14.2251
1759.207   14.2202
1761.136   14.2089
1763.065   14.2038
1764.994   14.2075
1766.923   14.2048
1768.852   14.1928
1770.781   14.1865
1772.710   14.1765
1774.639   14.1772
1776.568   14.1845
1778.497   14.1880
1780.426   14.1831
1782.354   14.1887
1784.283   14.1999
1786.212   14.2048
1788.141   14.2104
1790.070   14.2075
1791.999   14.2021
1793.928   14.2070
1795.857   14.2165
1797.786   14.2160
1799.715   14.2089
1801.644   14.2114
1803.573   14.2172
1805.502   14.2185
1807.431   14.2219
1809.360   14.2331
1811.289   14.2414
1813.218   14.2392
1815.147   14.2431
1817.076   14.2443
1819.005   14.2512
1820.934   14.2561
1822.863   14.2607
1824.792   14.2583
1826.721   14.2570
1828.649   14.2644
1830.578   14.2680
1832.507   14.2707
1834.436   14.2749
1836.365   14.2790
1838.294   14.2832
1840.223   14.2854
1842.152   14.2880
1844.081   14.2766
1846.010   14.2859
1847.939   14.3022
1849.868   14.3025
1851.797   14.2971
1853.726   14.3059
1855.655   14.3171
1857.584   14.3105
1859.513   14.3193
1861.442   14.3352
1863.371   14.3371
1865.300   14.3308
1867.229   14.3313
1869.158   14.3347
1871.087   14.3462
1873.016   14.3503
1874.944   14.3525
1876.873   14.3549
1878.802   14.3593
1880.731   14.3691
1882.660   14.3742
1884.589   14.3657
1886.518   14.3632
1888.447   14.3664
1890.376   14.3735
1892.305   14.3784
1894.234   14.3750
1896.163   14.3767
1898.092   14.3847
1900.021   14.3918
1901.950   14.3906
1903.879   14.3896
1905.808   14.3957
1907.737   14.4011
1909.666   14.4028
1911.595   14.4033
1913.524   14.3986
1915.453   14.4043
1917.382   14.4052
1919.311   14.4091
1921.239   14.4162
1923.168   14.4174
1925.097   14.4250
1927.026   14.4331
1928.955   14.4267
1930.884   14.4284
1932.813   14.4282
1934.742   14.4248
1936.671   14.4284
1938.600   14.4331
1940.529   14.4323
1942.458   14.4323
1944.387   14.4392
1946.316   14.4367
1948.245   14.4343
1950.174   14.4448
1952.103   14.4509
1954.032   14.4433
1955.961   14.4453
1957.890   14.4572
1959.819   14.4558
1961.748   14.4477
1963.677   14.4480
1965.606   14.4455
1967.534   14.4431
1969.463   14.4553
1971.392   14.4572
1973.321   14.4528
1975.250   14.4575
1977.179   14.4585
1979.108   14.4626
1981.037   14.4680
1982.966   14.4736
1984.895   14.4780
1986.824   14.4838
1988.753   14.4777
1990.682   14.4731
1992.611   14.4792
1994.540   14.4907
1996.469   14.5029
1998.397   14.5056
2000.326   14.5129
2002.255   14.5161
2004.184   14.5180
2006.113   14.5139
2008.042   14.5163
2009.971   14.5305
2011.900   14.5371
2013.829   14.5417
2015.758   14.5590
2017.687   14.5744
2019.616   14.5879
2021.545   14.5940
2023.474   14.5954
2025.403   14.5918
2027.332   14.5881
2029.261   14.5810
2031.190   14.5573
2033.119   14.5339
2035.048   14.5185
2036.977   14.5039
2038.906   14.4968
2040.835   14.5009
2042.764   14.5039
2044.692   14.5019
2046.621   14.5083
2048.550   14.5131
2050.479   14.5129
2052.408   14.5163
2054.337   14.5244
2056.266   14.5305
2058.195   14.5459
2060.124   14.5683
2062.053   14.5942
2063.982   14.6057
2065.911   14.6196
2067.840   14.6298
2069.769   14.6313
2071.698   14.6284
2073.627   14.6274
2075.556   14.6198
2077.485   14.5986
2079.414   14.5747
2081.343   14.5503
2083.272   14.5373
2085.201   14.5288
2087.130   14.5146
2089.059   14.5053
2090.987   14.5066
2092.916   14.5151
2094.845   14.5073
2096.774   14.5009
2098.703   14.5056
2100.632   14.5175
2102.561   14.5234
2104.490   14.5346
2106.419   14.5485
2108.348   14.5568
2110.277   14.5654
2112.206   14.5879
2114.135   14.5998
2116.064   14.6132
2117.993   14.6411
2119.922   14.6594
2121.851   14.6740
2123.780   14.6931
2125.709   14.7072
2127.638   14.7216
2129.567   14.7387
2131.496   14.7526
2133.425   14.7714
2135.354   14.7866
2137.282   14.8066
2139.211   14.8166
2141.140   14.8154
2143.069   14.8208
2144.998   14.8330
2146.927   14.8293
2148.856   14.8374
2150.785   14.8535
2152.714   14.8686
2154.643   14.8872
2156.572   14.9184
2158.501   14.9585
2160.430   14.9870
2162.359   15.0146
2164.288   15.0537
2166.217   15.0874
2168.146   15.1240
2170.075   15.1630
2172.004   15.1960
2173.933   15.2314
2175.862   15.2646
2177.791   15.2944
2179.720   15.3266
2181.649   15.3559
2183.577   15.3938
2185.506   15.4279
2187.435   15.4631
2189.364   15.4921
2191.293   15.5195
2193.222   15.5605
2195.151   15.6088
2197.080   15.6504
2199.009   15.6831
2200.938   15.7241
2202.867   15.7649
2204.796   15.8051
2206.725   15.8542
2208.654   15.9082
2210.583   15.9663
2212.512   16.0268
2214.440   16.0957
